FATURA;ID_CONTA_CONTRATO;REGRA;SEGMENTO;STATUS;SUBSTATUS;OBSERVACAO;DADOS_BILLING;DADOS_CONTRATO;DADOS_TABELA_VERDADE;ID_LOTE;PRODUTO;TIPO_SERVICO;DESCRICAO_SERVICO;TIPO_IMPOSTO;PROMOCAO;GRUPO_LOCALIDADE
10;817098;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: DISTRIBUIDORA MODELO | DOC: 13052034000171 | CEP: 13631030 | CIDADE: PIRASSUNUNGA - AN | UF: SP | IE: 242419992484;RAZAO: MARCELO GOMES DE OLIVEIRA METAIS | SITUACAO: ATIVA | CEP: 13631030 | END: CENTRO - PIRASSUNUNGA/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
11;572039;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;Endereço Receita x Correios divergente;NOME: BETA SERVICOS | DOC: 40699468000130 | CEP: 13615686 | CIDADE: LEME - AN | UF: SP | IE: -;RAZAO: J.C. TERCEIRIZACAO EM MATERIAIS ELETRICOS LTDA | SITUACAO: ATIVA | CEP: 13615686 | END: ORLANDO LEME FRANCO, 2175 - ALTO DA BOA VISTA - LEME/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
12;2180085;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 16420-000 (representa sede do município, não um endereço específico);NOME: JOAO SILVA | DOC: 04477903669 | CEP: 16420000 | CIDADE: LINS - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
13;2479473;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: SERVICOS GERAIS ME | DOC: 55768641000182 | CEP: 79602050 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: 466954953850;RAZAO: DONA ROMA DECORACAO LTDA | SITUACAO: ATIVA | CEP: 79602050 | END: DOUTOR MUNIR THOME, 814 - CENTRO - TRES LAGOAS/MS;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;INTERIOR
14;484049;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: CONECTA FIBRA | DOC: 03695145000142 | CEP: 79645020 | CIDADE: TRES LAGOAS - AN | UF: MS | IE: -;RAZAO: ASSOCIACAO COMERCIAL E INDUSTRIAL DE TRES LAGOAS | SITUACAO: ATIVA | CEP: 79645020 | END: WILSON CARVALHO VIANA, 519 - SANTO ANDRE - TRES LAGOAS/MS;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;INTERIOR
15;2094686;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: DELTA EQUIPAMENTOS | DOC: 36383010000109 | CEP: 06440180 | CIDADE: BARUERI - AN | UF: SP | IE: ISENTO;RAZAO: STUTZ TATTOO PIERCING E BARBEARIA LTDA | SITUACAO: ATIVA | CEP: 06440180 | END: GENERAL DE DIVISAO DE PEDRO RODRIGUES DA SILVA, 400 - ALDEIA - BARUERI/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
16;1971300;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: METRO LOGISTICA | DOC: 44797975000400 | CEP: 13630095 | CIDADE: PIRASSUNUNGA - AN | UF: SP | IE: 391357417623;RAZAO: BRUNER INDUSTRIA E COMERCIO LTDA | SITUACAO: ATIVA | CEP: 13630095 | END: DUQUE DE CAXIAS, 1895 - CENTRO - PIRASSUNUNGA/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
17;2752894;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: PATRICIA MARTINS | DOC: 06251734655 | CEP: 88101010 | CIDADE: SAO JOSE - AN | UF: SC | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
18;2815121;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: GLN HOME | DOC: 21256480000126 | CEP: 17031382 | CIDADE: BAURU - AN | UF: SP | IE: ISENTO;RAZAO: PERES & PERES COMERCIO DE PECAS LTDA | SITUACAO: ATIVA | CEP: 17031382 | END: CARLOS RIBEIRO VIANNA, 3-89 - PARQUE PAULISTA - BAURU/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
19;2517996;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: THIAGO CARVALHO | DOC: 40312593600 | CEP: 11258575 | CIDADE: BERTIOGA - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
20;2731325;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: RENATA MOURA | DOC: 66266092468 | CEP: 88371895 | CIDADE: NAVEGANTES - AN | UF: SC | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
21;747833;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: METRO LOGISTICA | DOC: 22049148000153 | CEP: 17010031 | CIDADE: BAURU - AN | UF: SP | IE: ISENTO;RAZAO: 22.049.148 CLAUDIO ROBSON TOBIAS | SITUACAO: ATIVA | CEP: 17010031 | END: CENTRO - BAURU/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
22;2451777;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: PEDRO OLIVEIRA | DOC: 05456890666 | CEP: 80240041 | CIDADE: CURITIBA - AN | UF: PR | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
23;1291973;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: FOCO SERVICOS | DOC: 17113900000148 | CEP: 17212350 | CIDADE: JAU - AN | UF: SP | IE: -;RAZAO: AB BETTO COMERCIO DE CALCADOS LTDA | SITUACAO: ATIVA | CEP: 17212350 | END: MIGUEL ANTONIO FORASTIERI, 191 - JARDIM DOUTOR LUCIANO - JAU/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
24;2664323;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 03102-000 (representa sede do município, não um endereço específico);NOME: PATRICIA MARTINS | DOC: 08505436652 | CEP: 03102000 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
25;2371509;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: FABIO RIBEIRO | DOC: 11184793603 | CEP: 05305001 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
26;2147502;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: ROBERTO LIMA | DOC: 08955012608 | CEP: 90110150 | CIDADE: PORTO ALEGRE - AN | UF: RS | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
27;309673;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: EMPRESA TESTE LTDA | DOC: 10473797000106 | CEP: 16201191 | CIDADE: BIRIGUI - AN | UF: SP | IE: ISENTO;RAZAO: REDONDACO CIMENTO, CAL E ACO LTDA. | SITUACAO: ATIVA | CEP: 16201191 | END: ANTONIO DA SILVA NUNES, 2.440 - RECANTO VERDE II - BIRIGUI/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
28;2520008;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: FERNANDA SOUZA | DOC: 15260534620 | CEP: 90570070 | CIDADE: PORTO ALEGRE - AN | UF: RS | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
29;50613;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 11250-000 (representa sede do município, não um endereço específico);NOME: COMERCIO GERAL SA | DOC: 02027538001197 | CEP: 11250000 | CIDADE: BERTIOGA - AN | UF: SP | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
30;2874302;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: FERNANDA SOUZA | DOC: 10352402628 | CEP: 19190160 | CIDADE: SANTO EXPEDITO - AN | UF: SP | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
31;2096003;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: ANA COSTA | DOC: 04971912614 | CEP: 13633480 | CIDADE: PIRASSUNUNGA - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
32;1958699;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 17056-000 (representa sede do município, não um endereço específico);NOME: TURBO FRETES | DOC: 62375191000638 | CEP: 17056000 | CIDADE: BAURU - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
33;124838;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;Endereço Receita x Correios divergente;NOME: SIGMA TECNOLOGIA | DOC: 54334214000123 | CEP: 18145342 | CIDADE: SAO ROQUE - AN | UF: SP | IE: ISENTO;RAZAO: ASSOCIACAO RESIDENCIAL ECOLOGICA PATRIMONIO DO CARMO | SITUACAO: ATIVA | CEP: 18145342 | END: ESTRUTURAL SUL, 800 - BAIRRO DO CARMO (CANGUERA) - SAO ROQUE/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
34;2466344;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: LUCIA ALMEIDA | DOC: 78306752600 | CEP: 21061240 | CIDADE: RIO DE JANEIRO - AN | UF: RJ | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
35;2369993;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: PATRICIA MARTINS | DOC: 59283572653 | CEP: 74369575 | CIDADE: GOIANIA - AN | UF: GO | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
36;2668199;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: PATRICIA MARTINS | DOC: 14242305605 | CEP: 17501330 | CIDADE: MARILIA - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
37;2724617;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: BETA SERVICOS | DOC: 41605675000141 | CEP: 16075245 | CIDADE: ARACATUBA - AN | UF: SP | IE: 711705418712;RAZAO: JUNIOR TRANSPORTES ARACATUBA LTDA | SITUACAO: ATIVA | CEP: 16075245 | END: PROFESSOR RUBENS REGO FONTAO, 123 - PARQUE INDUSTRIAL - ARACATUBA/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
38;2632877;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 95588-000 (representa sede do município, não um endereço específico);NOME: PEDRO OLIVEIRA | DOC: 13594931315 | CEP: 95588000 | CIDADE: XANGRI-LA - AN | UF: RS | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
39;1928102;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;Endereço Receita x Correios divergente;NOME: CENTRAL DISTRIBUIDORA | DOC: 07479395000104 | CEP: 17012633 | CIDADE: BAURU - AN | UF: SP | IE: ISENTO;RAZAO: EDIFICIO PLAZA D' ESPANA | SITUACAO: ATIVA | CEP: 17012633 | END: PROF. DURVAL GUEDES DE AZEVEDO, 2-93 - JD INF DOM HENRIQUE - BAURU/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
40;2552305;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 02713-000 (representa sede do município, não um endereço específico);NOME: RENATA MOURA | DOC: 09471398690 | CEP: 02713000 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
41;2203236;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: SERVICOS GERAIS ME | DOC: 15667475001347 | CEP: 18110902 | CIDADE: VOTORANTIM - AN | UF: SP | IE: -;RAZAO: DRYCAR TECNOLOGIA E SERVICOS LTDA | SITUACAO: ATIVA | CEP: 18110902 | END: GISELE CONSTANTINO, 1850 - PARQUE BELA VISTA - VOTORANTIM/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
42;2478384;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '16400465' x Receita '13279400' | Cidade divergente: base 'LINS' x Receita 'VALINHOS' | CEP da Receita não encontrado nos Correios;NOME: BETA SERVICOS | DOC: 01937440000302 | CEP: 16400465 | CIDADE: LINS - AN | UF: SP | IE: ISENTO;RAZAO: TRANSPANORAMA TRANSPORTES S.A. | SITUACAO: ATIVA | CEP: 13279400 | END: CLARK, 1947 - MACUCO - VALINHOS/SP;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
43;2896603;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: RENATA MOURA | DOC: 06740637679 | CEP: 17490102 | CIDADE: PIRATININGA - AN | UF: SP | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
44;1178125;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 75600-000 (representa sede do município, não um endereço específico);NOME: DELTA EQUIPAMENTOS | DOC: 14638164000153 | CEP: 75600000 | CIDADE: GOIATUBA - AN | UF: GO | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
45;2476740;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: MARIA SANTOS | DOC: 12631937651 | CEP: 79750063 | CIDADE: NOVA ANDRADINA - AN | UF: MS | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;INTERIOR
46;2729314;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: FERNANDA SOUZA | DOC: 03331111686 | CEP: 13470310 | CIDADE: AMERICANA - AN | UF: SP | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO FIDELIDADE 12M;CAPITAL
47;2794201;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 37220-000 (representa sede do município, não um endereço específico);NOME: MARIA SANTOS | DOC: 11183261640 | CEP: 37220000 | CIDADE: BOM SUCESSO - AN | UF: MG | IE: -;;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO MIGRACAO;CAPITAL
48;2335603;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '74354614' x Receita '13848059' | Cidade divergente: base 'GOIANIA' x Receita 'MOGI GUACU' | UF divergente: base 'GO' x Receita 'SP';NOME: GRUPO FICTICIO ME | DOC: 05431544000121 | CEP: 74354614 | CIDADE: GOIANIA - AN | UF: GO | IE: ISENTO;RAZAO: IGREJA PENTECOSTAL DEUS VIVO | SITUACAO: ATIVA | CEP: 13848059 | END: HONORIO ORLANDO MARTINI, 2254 - JARDIM NOVO DOIS - MOGI GUACU/SP;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;;CAPITAL
49;13249;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: PRIME SOLUCOES | DOC: 49669856006265 | CEP: 06709015 | CIDADE: COTIA - AN | UF: SP | IE: 964608694078;RAZAO: VESTE S.A. ESTILO | SITUACAO: ATIVA | CEP: 06709015 | END: RAPOSO TAVARES, S/N - GRANJA VIANA - COTIA/SP;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO FIDELIDADE 12M;CAPITAL
50;2783285;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: RAFAEL GOMES | DOC: 13520287609 | CEP: 80420090 | CIDADE: CURITIBA - AN | UF: PR | IE: -;;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;PROMO MIGRACAO;CAPITAL
51;117391;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: NOVA ERA COMERCIO | DOC: 02116756000126 | CEP: 07042040 | CIDADE: GUARULHOS - AN | UF: SP | IE: ISENTO;RAZAO: NEO GEO WORLD DO BRASIL ENTRETENIMENTOS E EMPREENDIMENTOS LTDA. | SITUACAO: ATIVA | CEP: 07042040 | END: ENGENHEIRO CAMILO OLIVETTI, 295 - VILA ENDRES - GUARULHOS/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;;CAPITAL
52;2579399;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: MARCELO RODRIGUES | DOC: 01494946610 | CEP: 05144085 | CIDADE: SAO PAULO - AN | UF: SP | IE: -;;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO FIDELIDADE 12M;CAPITAL
53;2855238;DADOS CADASTRAIS;RESIDENCIAL;CORRETO;OK;;NOME: THIAGO CARVALHO | DOC: 18171491642 | CEP: 21530015 | CIDADE: RIO DE JANEIRO - AN | UF: RJ | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;PROMO MIGRACAO;CAPITAL
54;2034979;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;Endereço Receita x Correios divergente;NOME: CONECTA FIBRA | DOC: 07731056000246 | CEP: 25085131 | CIDADE: DUQUE DE CAXIAS - AN | UF: RJ | IE: ISENTO;RAZAO: ITAVEMA MOTORS VEICULOS LTDA | SITUACAO: ATIVA | CEP: 25085131 | END: BRIGADEIRO LIMA E SILVA, 521 - PARQUE DUQUE - DUQUE DE CAXIAS/RJ;;LOTE-2026-07;TELEFONIA FIXA;STFC;Servico Telefonico Fixo Comutado;ICMS;;CAPITAL
55;2404466;DADOS CADASTRAIS;CORPORATIVO;INCORRETO;ERRO;CEP divergente: base '17206758' x Receita '17206450';NOME: ULTRA SUPPLY | DOC: 07515086000134 | CEP: 17206758 | CIDADE: JAU - AN | UF: SP | IE: 290177698664;RAZAO: CONDOMINIO RESIDENCIAL BELA VISTA | SITUACAO: ATIVA | CEP: 17206450 | END: EGISTO FRANCESCHI, 2000 - LOTEAMENTO INDUSTRIA - JAU/SP;;LOTE-2026-07;SOLUCAO CORPORATIVA;SMP;Servico Movel Pessoal;ICMS;PROMO FIDELIDADE 12M;CAPITAL
56;2026036;DADOS CADASTRAIS;CORPORATIVO;CORRETO;OK;;NOME: GRUPO FICTICIO ME | DOC: 53533749000160 | CEP: 21351051 | CIDADE: RIO DE JANEIRO - AN | UF: RJ | IE: -;RAZAO: W VIP MADUREIRA PERFUMARIA LTDA | SITUACAO: ATIVA | CEP: 21351051 | END: DO PORTELA, 00222 - MADUREIRA - RIO DE JANEIRO/RJ;;LOTE-2026-07;LINK DEDICADO;SVA;Servico de Valor Adicionado;ISS;PROMO MIGRACAO;CAPITAL
57;2907628;DADOS CADASTRAIS;RESIDENCIAL;INCORRETO;ERRO;[CEP] CEP genérico não aceito: 37262-000 (representa sede do município, não um endereço específico);NOME: FABIO RIBEIRO | DOC: 14989602609 | CEP: 37262000 | CIDADE: SANTO ANTONIO DO AMPARO - AN | UF: MG | IE: -;;;LOTE-2026-07;BANDA LARGA EMPRESARIAL;SCM;Servico de Comunicacao Multimidia;ICMS;;CAPITAL
